# Curated element reference data for Seitz crystal generation.
# covalent_radius: single-bond covalent radii (angstrom) from Cordero et
#   al., "Covalent radii revisited", Dalton Trans., 2008, 2832-2838.
# metallic_radius, vdw_radius: pymatgen's periodic table (angstrom),
#   extracted by tools/extract_element_radii.py; an empty field means
#   pymatgen tabulates no value and the accessor returns std::nullopt.
# Atomic volume is NOT tabulated: data/element_data.hpp derives it from
#   the covalent radius as the volume of a sphere.
Z,symbol,covalent_radius,metallic_radius,vdw_radius
1,H,0.31,,1.10
2,He,0.28,,1.40
3,Li,1.28,1.52,1.82
4,Be,0.96,1.12,1.53
5,B,0.84,,1.92
6,C,0.76,,1.70
7,N,0.71,,1.55
8,O,0.66,,1.52
9,F,0.57,,1.47
10,Ne,0.58,,1.54
11,Na,1.66,1.86,2.27
12,Mg,1.41,1.60,1.73
13,Al,1.21,1.43,1.84
14,Si,1.11,,2.10
15,P,1.07,,1.80
16,S,1.05,,1.80
17,Cl,1.02,,1.75
18,Ar,1.06,,1.88
19,K,2.03,2.27,2.75
20,Ca,1.76,1.97,2.31
21,Sc,1.70,1.62,2.15
22,Ti,1.60,1.47,2.11
23,V,1.53,1.34,2.07
24,Cr,1.39,1.28,2.06
25,Mn,1.39,1.27,2.05
26,Fe,1.32,1.26,2.04
27,Co,1.26,1.25,2.00
28,Ni,1.24,1.24,1.97
29,Cu,1.32,1.28,1.96
30,Zn,1.22,1.34,2.01
31,Ga,1.22,1.35,1.87
32,Ge,1.20,,2.11
33,As,1.19,,1.85
34,Se,1.20,,1.90
35,Br,1.20,,1.85
36,Kr,1.16,,2.02
37,Rb,2.20,2.48,3.03
38,Sr,1.95,2.15,2.49
39,Y,1.90,1.80,2.32
40,Zr,1.75,1.60,2.23
41,Nb,1.64,1.46,2.18
42,Mo,1.54,1.39,2.17
43,Tc,1.47,1.36,2.16
44,Ru,1.46,1.34,2.13
45,Rh,1.42,1.34,2.10
46,Pd,1.39,1.37,2.10
47,Ag,1.45,1.44,2.11
48,Cd,1.44,1.51,2.18
49,In,1.42,1.67,1.93
50,Sn,1.39,,2.17
51,Sb,1.39,,2.06
52,Te,1.38,,2.06
53,I,1.39,,1.98
54,Xe,1.40,,2.16
55,Cs,2.44,2.65,3.43
56,Ba,2.15,2.22,2.68
57,La,2.07,1.87,2.43
58,Ce,2.04,1.82,2.42
59,Pr,2.03,1.82,2.40
60,Nd,2.01,1.81,2.39
61,Pm,1.99,1.83,2.38
62,Sm,1.98,1.80,2.36
63,Eu,1.98,1.80,2.35
64,Gd,1.96,1.80,2.34
65,Tb,1.94,1.77,2.33
66,Dy,1.92,1.78,2.31
67,Ho,1.92,1.76,2.30
68,Er,1.89,1.76,2.29
69,Tm,1.90,1.76,2.27
70,Yb,1.87,1.76,2.26
71,Lu,1.87,1.74,2.24
72,Hf,1.75,1.59,2.23
73,Ta,1.70,1.46,2.22
74,W,1.62,1.39,2.18
75,Re,1.51,1.37,2.16
76,Os,1.44,1.35,2.16
77,Ir,1.41,1.35,2.13
78,Pt,1.36,1.39,2.13
79,Au,1.36,1.44,2.14
80,Hg,1.32,1.51,2.23
81,Tl,1.45,1.70,1.96
82,Pb,1.46,,2.02
83,Bi,1.48,,2.07
84,Po,1.40,,1.97
85,At,1.50,,2.02
86,Rn,1.50,,2.20
87,Fr,2.60,,3.48
88,Ra,2.21,,2.83
89,Ac,2.15,,2.47
90,Th,2.06,1.79,2.45
91,Pa,2.00,1.63,2.43
92,U,1.96,1.56,2.41
93,Np,1.90,1.55,2.39
94,Pu,1.87,1.59,2.43
95,Am,1.80,1.73,2.44
96,Cm,1.69,1.74,2.45
