number,symbol,r0,r1,r2,r3,r4,r5,r6,r7,r8,t0,t1,t2
1,p1,1,0,0,0,1,0,0,0,1,0,0,0
2,p-1,1,0,0,0,1,0,0,0,1,0,0,0
2,p-1,-1,0,0,0,-1,0,0,0,-1,0,0,0
3,p211,1,0,0,0,1,0,0,0,1,0,0,0
3,p211,1,0,0,0,-1,0,0,0,-1,0,0,0
4,pm11,1,0,0,0,1,0,0,0,1,0,0,0
4,pm11,-1,0,0,0,1,0,0,0,1,0,0,0
5,pc11,1,0,0,0,1,0,0,0,1,0,0,0
5,pc11,-1,0,0,0,1,0,0,0,1,0,0,6
6,p2/m11,1,0,0,0,1,0,0,0,1,0,0,0
6,p2/m11,1,0,0,0,-1,0,0,0,-1,0,0,0
6,p2/m11,-1,0,0,0,-1,0,0,0,-1,0,0,0
6,p2/m11,-1,0,0,0,1,0,0,0,1,0,0,0
7,p2/c11,1,0,0,0,1,0,0,0,1,0,0,0
7,p2/c11,1,0,0,0,-1,0,0,0,-1,0,0,6
7,p2/c11,-1,0,0,0,-1,0,0,0,-1,0,0,0
7,p2/c11,-1,0,0,0,1,0,0,0,1,0,0,6
8,p112,1,0,0,0,1,0,0,0,1,0,0,0
8,p112,-1,0,0,0,-1,0,0,0,1,0,0,0
9,p1121,1,0,0,0,1,0,0,0,1,0,0,0
9,p1121,-1,0,0,0,-1,0,0,0,1,0,0,6
10,p11m,1,0,0,0,1,0,0,0,1,0,0,0
10,p11m,1,0,0,0,1,0,0,0,-1,0,0,0
11,p112/m,1,0,0,0,1,0,0,0,1,0,0,0
11,p112/m,-1,0,0,0,-1,0,0,0,1,0,0,0
11,p112/m,-1,0,0,0,-1,0,0,0,-1,0,0,0
11,p112/m,1,0,0,0,1,0,0,0,-1,0,0,0
12,p1121/m,1,0,0,0,1,0,0,0,1,0,0,0
12,p1121/m,-1,0,0,0,-1,0,0,0,1,0,0,6
12,p1121/m,-1,0,0,0,-1,0,0,0,-1,0,0,0
12,p1121/m,1,0,0,0,1,0,0,0,-1,0,0,6
13,p222,1,0,0,0,1,0,0,0,1,0,0,0
13,p222,-1,0,0,0,-1,0,0,0,1,0,0,0
13,p222,-1,0,0,0,1,0,0,0,-1,0,0,0
13,p222,1,0,0,0,-1,0,0,0,-1,0,0,0
14,p2221,1,0,0,0,1,0,0,0,1,0,0,0
14,p2221,-1,0,0,0,-1,0,0,0,1,0,0,6
14,p2221,-1,0,0,0,1,0,0,0,-1,0,0,6
14,p2221,1,0,0,0,-1,0,0,0,-1,0,0,0
15,pmm2,1,0,0,0,1,0,0,0,1,0,0,0
15,pmm2,-1,0,0,0,-1,0,0,0,1,0,0,0
15,pmm2,1,0,0,0,-1,0,0,0,1,0,0,0
15,pmm2,-1,0,0,0,1,0,0,0,1,0,0,0
16,pcc2,1,0,0,0,1,0,0,0,1,0,0,0
16,pcc2,-1,0,0,0,-1,0,0,0,1,0,0,0
16,pcc2,1,0,0,0,-1,0,0,0,1,0,0,6
16,pcc2,-1,0,0,0,1,0,0,0,1,0,0,6
17,pmc21,1,0,0,0,1,0,0,0,1,0,0,0
17,pmc21,-1,0,0,0,-1,0,0,0,1,0,0,6
17,pmc21,1,0,0,0,-1,0,0,0,1,0,0,6
17,pmc21,-1,0,0,0,1,0,0,0,1,0,0,0
18,p2mm,1,0,0,0,1,0,0,0,1,0,0,0
18,p2mm,1,0,0,0,-1,0,0,0,-1,0,0,0
18,p2mm,1,0,0,0,1,0,0,0,-1,0,0,0
18,p2mm,1,0,0,0,-1,0,0,0,1,0,0,0
19,p2cm,1,0,0,0,1,0,0,0,1,0,0,0
19,p2cm,1,0,0,0,-1,0,0,0,-1,0,0,0
19,p2cm,1,0,0,0,-1,0,0,0,1,0,0,6
19,p2cm,1,0,0,0,1,0,0,0,-1,0,0,6
20,pmmm,1,0,0,0,1,0,0,0,1,0,0,0
20,pmmm,-1,0,0,0,-1,0,0,0,1,0,0,0
20,pmmm,-1,0,0,0,1,0,0,0,-1,0,0,0
20,pmmm,1,0,0,0,-1,0,0,0,-1,0,0,0
20,pmmm,-1,0,0,0,-1,0,0,0,-1,0,0,0
20,pmmm,1,0,0,0,1,0,0,0,-1,0,0,0
20,pmmm,1,0,0,0,-1,0,0,0,1,0,0,0
20,pmmm,-1,0,0,0,1,0,0,0,1,0,0,0
21,pccm,1,0,0,0,1,0,0,0,1,0,0,0
21,pccm,-1,0,0,0,-1,0,0,0,1,0,0,0
21,pccm,-1,0,0,0,1,0,0,0,-1,0,0,6
21,pccm,1,0,0,0,-1,0,0,0,-1,0,0,6
21,pccm,-1,0,0,0,-1,0,0,0,-1,0,0,0
21,pccm,1,0,0,0,1,0,0,0,-1,0,0,0
21,pccm,1,0,0,0,-1,0,0,0,1,0,0,6
21,pccm,-1,0,0,0,1,0,0,0,1,0,0,6
22,pmcm,1,0,0,0,1,0,0,0,1,0,0,0
22,pmcm,-1,0,0,0,1,0,0,0,-1,0,0,6
22,pmcm,1,0,0,0,-1,0,0,0,-1,0,0,0
22,pmcm,-1,0,0,0,-1,0,0,0,1,0,0,6
22,pmcm,-1,0,0,0,-1,0,0,0,-1,0,0,0
22,pmcm,1,0,0,0,-1,0,0,0,1,0,0,6
22,pmcm,-1,0,0,0,1,0,0,0,1,0,0,0
22,pmcm,1,0,0,0,1,0,0,0,-1,0,0,6
23,p4,1,0,0,0,1,0,0,0,1,0,0,0
23,p4,-1,0,0,0,-1,0,0,0,1,0,0,0
23,p4,0,-1,0,1,0,0,0,0,1,0,0,0
23,p4,0,1,0,-1,0,0,0,0,1,0,0,0
24,p41,1,0,0,0,1,0,0,0,1,0,0,0
24,p41,-1,0,0,0,-1,0,0,0,1,0,0,6
24,p41,0,-1,0,1,0,0,0,0,1,0,0,3
24,p41,0,1,0,-1,0,0,0,0,1,0,0,9
25,p42,1,0,0,0,1,0,0,0,1,0,0,0
25,p42,-1,0,0,0,-1,0,0,0,1,0,0,0
25,p42,0,-1,0,1,0,0,0,0,1,0,0,6
25,p42,0,1,0,-1,0,0,0,0,1,0,0,6
26,p43,1,0,0,0,1,0,0,0,1,0,0,0
26,p43,-1,0,0,0,-1,0,0,0,1,0,0,6
26,p43,0,-1,0,1,0,0,0,0,1,0,0,9
26,p43,0,1,0,-1,0,0,0,0,1,0,0,3
27,p-4,1,0,0,0,1,0,0,0,1,0,0,0
27,p-4,-1,0,0,0,-1,0,0,0,1,0,0,0
27,p-4,0,1,0,-1,0,0,0,0,-1,0,0,0
27,p-4,0,-1,0,1,0,0,0,0,-1,0,0,0
28,p4/m,1,0,0,0,1,0,0,0,1,0,0,0
28,p4/m,-1,0,0,0,-1,0,0,0,1,0,0,0
28,p4/m,0,-1,0,1,0,0,0,0,1,0,0,0
28,p4/m,0,1,0,-1,0,0,0,0,1,0,0,0
28,p4/m,-1,0,0,0,-1,0,0,0,-1,0,0,0
28,p4/m,1,0,0,0,1,0,0,0,-1,0,0,0
28,p4/m,0,1,0,-1,0,0,0,0,-1,0,0,0
28,p4/m,0,-1,0,1,0,0,0,0,-1,0,0,0
29,p42/m,1,0,0,0,1,0,0,0,1,0,0,0
29,p42/m,-1,0,0,0,-1,0,0,0,1,0,0,0
29,p42/m,0,-1,0,1,0,0,0,0,1,0,0,6
29,p42/m,0,1,0,-1,0,0,0,0,1,0,0,6
29,p42/m,-1,0,0,0,-1,0,0,0,-1,0,0,0
29,p42/m,1,0,0,0,1,0,0,0,-1,0,0,0
29,p42/m,0,1,0,-1,0,0,0,0,-1,0,0,6
29,p42/m,0,-1,0,1,0,0,0,0,-1,0,0,6
30,p422,1,0,0,0,1,0,0,0,1,0,0,0
30,p422,-1,0,0,0,-1,0,0,0,1,0,0,0
30,p422,0,-1,0,1,0,0,0,0,1,0,0,0
30,p422,0,1,0,-1,0,0,0,0,1,0,0,0
30,p422,-1,0,0,0,1,0,0,0,-1,0,0,0
30,p422,1,0,0,0,-1,0,0,0,-1,0,0,0
30,p422,0,1,0,1,0,0,0,0,-1,0,0,0
30,p422,0,-1,0,-1,0,0,0,0,-1,0,0,0
31,p4122,1,0,0,0,1,0,0,0,1,0,0,0
31,p4122,-1,0,0,0,-1,0,0,0,1,0,0,6
31,p4122,0,-1,0,1,0,0,0,0,1,0,0,3
31,p4122,0,1,0,-1,0,0,0,0,1,0,0,9
31,p4122,1,0,0,0,-1,0,0,0,-1,0,0,0
31,p4122,-1,0,0,0,1,0,0,0,-1,0,0,6
31,p4122,0,1,0,1,0,0,0,0,-1,0,0,3
31,p4122,0,-1,0,-1,0,0,0,0,-1,0,0,9
32,p4222,1,0,0,0,1,0,0,0,1,0,0,0
32,p4222,-1,0,0,0,-1,0,0,0,1,0,0,0
32,p4222,0,-1,0,1,0,0,0,0,1,0,0,6
32,p4222,0,1,0,-1,0,0,0,0,1,0,0,6
32,p4222,-1,0,0,0,1,0,0,0,-1,0,0,0
32,p4222,1,0,0,0,-1,0,0,0,-1,0,0,0
32,p4222,0,1,0,1,0,0,0,0,-1,0,0,6
32,p4222,0,-1,0,-1,0,0,0,0,-1,0,0,6
33,p4322,1,0,0,0,1,0,0,0,1,0,0,0
33,p4322,-1,0,0,0,-1,0,0,0,1,0,0,6
33,p4322,0,-1,0,1,0,0,0,0,1,0,0,9
33,p4322,0,1,0,-1,0,0,0,0,1,0,0,3
33,p4322,1,0,0,0,-1,0,0,0,-1,0,0,0
33,p4322,-1,0,0,0,1,0,0,0,-1,0,0,6
33,p4322,0,1,0,1,0,0,0,0,-1,0,0,9
