super,hall,kind,index,p00,p01,p02,p10,p11,p12,p20,p21,p22,s0,s1,s2
1,1,k,2,-24,0,0,0,0,-48,0,-24,0,0,0,0
1,1,k,2,0,-24,-24,0,24,-24,24,0,0,0,0,0
1,1,k,2,0,0,48,24,0,0,0,24,0,0,0,0
1,1,k,2,0,24,24,-24,0,0,0,-24,24,0,0,0
1,1,k,2,24,0,0,0,-24,-24,0,24,-24,0,0,0
1,1,k,2,24,0,0,0,24,0,0,0,48,0,0,0
1,1,k,2,24,24,-24,-24,24,0,0,0,24,0,0,0
1,1,k,3,-24,-24,24,24,0,24,0,24,24,0,0,0
1,1,k,3,-24,0,0,0,-24,-48,0,-24,24,0,0,0
1,1,k,3,-24,0,0,0,-24,48,0,24,24,0,0,0
1,1,k,3,-24,0,0,0,0,-72,0,-24,0,0,0,0
1,1,k,3,0,-24,-48,0,-24,24,-24,0,0,0,0,0
1,1,k,3,0,-24,48,0,24,24,-24,0,0,0,0,0
1,1,k,3,0,0,72,24,0,0,0,24,0,0,0,0
1,1,k,3,0,24,-48,24,0,0,0,-24,-24,0,0,0
1,1,k,3,0,24,48,24,0,0,0,24,-24,0,0,0
1,1,k,3,24,0,0,0,24,0,0,0,72,0,0,0
1,1,k,3,24,0,24,24,-24,-24,0,24,-24,0,0,0
1,1,k,3,24,24,-24,-24,0,-24,0,24,24,0,0,0
1,1,k,3,24,24,-24,24,0,24,0,-24,-24,0,0,0
2,1,t,2,24,0,0,0,24,0,0,0,24,0,0,0
2,2,k,2,-24,0,0,0,0,-48,0,-24,0,0,-12,0
2,2,k,2,-24,0,0,0,0,-48,0,-24,0,0,0,0
2,2,k,2,0,-24,-24,0,24,-24,24,0,0,-12,0,0
2,2,k,2,0,-24,-24,0,24,-24,24,0,0,0,0,0
2,2,k,2,0,0,48,24,0,0,0,24,0,0,0,0
2,2,k,2,0,0,48,24,0,0,0,24,0,12,0,0
2,2,k,2,0,24,24,-24,0,0,0,-24,24,0,0,0
2,2,k,2,0,24,24,-24,0,0,0,-24,24,12,0,0
2,2,k,2,24,0,0,0,-24,-24,0,24,-24,0,-12,0
2,2,k,2,24,0,0,0,-24,-24,0,24,-24,0,0,0
2,2,k,2,24,0,0,0,24,0,0,0,48,0,0,0
2,2,k,2,24,0,0,0,24,0,0,0,48,0,0,12
2,2,k,2,24,24,-24,-24,24,0,0,0,24,0,0,0
2,2,k,2,24,24,-24,-24,24,0,0,0,24,12,0,0
2,2,k,3,-24,-24,24,24,0,24,0,24,24,0,0,0
2,2,k,3,-24,0,0,0,-24,-48,0,-24,24,0,0,0
2,2,k,3,-24,0,0,0,-24,48,0,24,24,0,0,0
2,2,k,3,-24,0,0,0,0,-72,0,-24,0,0,0,0
2,2,k,3,0,-24,-48,0,-24,24,-24,0,0,0,0,0
2,2,k,3,0,-24,48,0,24,24,-24,0,0,0,0,0
2,2,k,3,0,0,72,24,0,0,0,24,0,0,0,0
2,2,k,3,0,24,-48,24,0,0,0,-24,-24,0,0,0
2,2,k,3,0,24,48,24,0,0,0,24,-24,0,0,0
2,2,k,3,24,0,0,0,24,0,0,0,72,0,0,0
2,2,k,3,24,0,24,24,-24,-24,0,24,-24,0,0,0
2,2,k,3,24,24,-24,-24,0,-24,0,24,24,0,0,0
2,2,k,3,24,24,-24,24,0,24,0,-24,-24,0,0,0
3,1,t,2,24,0,0,0,-24,0,0,0,-24,0,0,0
3,3,k,2,-24,0,0,0,-24,0,0,0,48,0,0,0
3,3,k,2,-24,0,0,0,-24,0,0,0,48,0,0,12
3,3,k,2,0,0,48,0,24,0,-24,0,0,0,0,0
3,3,k,2,0,0,48,0,24,0,-24,0,0,12,0,0
3,3,k,2,24,0,0,0,-48,0,0,0,-24,0,0,0
3,3,k,2,24,0,24,0,24,0,-24,0,24,0,0,0
3,3,k,2,24,0,24,0,24,0,-24,0,24,12,0,0
3,3,k,3,-24,0,0,0,-24,0,0,0,72,0,0,0
3,3,k,3,-24,0,48,0,-24,0,24,0,24,48,0,24
3,3,k,3,0,0,72,0,24,0,-24,0,0,0,0,0
3,3,k,3,24,0,-48,0,24,0,24,0,24,0,0,0
3,3,k,3,24,0,0,0,-72,0,0,0,-24,0,0,0
